scenario,mean_points,median_points,p10_points,p90_points,std_points
actual_profile,54.6,55.0,46.0,64.0,6.98
counterfactual_cdm,61.16,61.0,52.0,70.0,7.0
casemiro_counterfactual,64.47,65.0,56.0,73.0,6.96
