season,matches,points,goals_for,goals_against,xg,xga,shots_for,shots_against,expected_points,points_per_match,xg_diff,shot_diff
2020_21_ole_baseline,38,74,73,44,63.169,41.921,527,432,64.18041074744464,1.95,21.25,95
2021_22_to_ole_exit,12,17,20,21,18.686,21.083000000000002,176,163,15.982775301438576,1.42,-2.4,13
