ronaldo_period,matches,points,goals_for,goals_against,xg,xga,shots_for,shots_against,expected_points
Post-Ronaldo,9,10,1.44,2.11,1.54,2.01,14.89,14.44,10.59
Pre-Ronaldo,3,7,2.33,0.67,1.62,0.98,14.0,11.0,5.39
